Árvore,Critério,Profundidade,Min Leaf,Min Split,Accuracy,Precision,Recall
Arvore 1,gini,,5,2,0.9035087719298246,0.918918918918919,0.8095238095238095
Arvore 2,gini,5.0,10,5,0.9122807017543859,1.0,0.7619047619047619
Arvore 3,entropy,,10,5,0.9385964912280702,0.972972972972973,0.8571428571428571
Arvore 4,entropy,3.0,20,10,0.9473684210526315,0.9285714285714286,0.9285714285714286
